species,group,species_std,genus,species_epithet,scientific_name
Blacktip Reef Shark,shark,blacktip reef shark,Carcharhinus,melanopterus ,NA
Blacktip Reef Sharks,shark,blacktip reef shark,Carcharhinus,melanopterus ,NA
Blacktip reef shark,shark,blacktip reef shark,Carcharhinus,melanopterus ,NA
black tip reef shark,shark,blacktip reef shark,Carcharhinus,melanopterus ,NA
black-tip reef shark,shark,blacktip reef shark,Carcharhinus,melanopterus ,NA
blacktip reef shark,shark,blacktip reef shark,Carcharhinus,melanopterus ,NA
Blotched Fantail Ray,ray,blotched fantail ray,Taeniurops,meyeni,NA
Blotched Fantail Rays,ray,blotched fantail ray,Taeniurops,meyeni,NA
Blotched fantail Ray,ray,blotched fantail ray,Taeniurops,meyeni,NA
Blotched fantail ray,ray,blotched fantail ray,Taeniurops,meyeni,NA
Botched Fantail Ray,ray,blotched fantail ray,Taeniurops,meyeni,NA
blotched fantail ray,ray,blotched fantail ray,Taeniurops,meyeni,NA
blotched fantail rays,ray,blotched fantail ray,Taeniurops,meyeni,NA
Blue Spotted Maskray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Bluespot Maskray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Bluespot Maskrays,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Bluespot mask ray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Bluespot maskray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Kuhl's Ray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Kuhl's stingray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
blue-spotted maskray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
bluespot maskray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
bluespotted maskray,ray,bluespotted maskray,Neotrygon,kuhlii,NA
Bowmouth Guitarfish,ray,bowmouth guitarfish,Rhina ,anclyostoma,NA
Bamboo Shark,shark,brown banded bamboo shark,Chiloscyllium ,punctatum ,NA
Bamboo sharks,shark,brown banded bamboo shark,Chiloscyllium ,punctatum ,NA
Brown Banded Bamboo Shark,shark,brown banded bamboo shark,Chiloscyllium ,punctatum ,NA
